zone,fam,macro,producto,rho,abs_rho,n
audp_zone,casa,d_tasa_hipo,descuento_yoy,-0.0008094357076780759,0.0008094357076780759,47
audp_zone,casa,d_tasa_hipo,sup_yoy,0.10904255319148937,0.10904255319148937,47
audp_zone,casa,d_desempleo,precio_yoy,0.0204152457786466,0.0204152457786466,47
audp_zone,casa,d_desempleo,velocidad_yoy,0.04661384730195228,0.04661384730195228,47
audp_zone,casa,d_desempleo,plazo_yoy,-0.022265919616937507,0.022265919616937507,47
audp_zone,casa,d_desempleo,descuento_yoy,0.18269620797378075,0.18269620797378075,47
audp_zone,casa,d_desempleo,sup_yoy,0.147880406390933,0.147880406390933,47
audp_zone,casa,ipv_general_yoy,precio_yoy,-0.08027297773586821,0.08027297773586821,47
audp_zone,casa,ipv_general_yoy,velocidad_yoy,0.39610203495170127,0.39610203495170127,47
audp_zone,casa,ipv_general_yoy,plazo_yoy,-0.49927710143641946,0.49927710143641946,47
audp_zone,casa,ipv_general_yoy,descuento_yoy,0.04626684595727274,0.04626684595727274,47
audp_zone,casa,ipv_general_yoy,sup_yoy,-0.03793881368496365,0.03793881368496365,47
audp_zone,casa,icoi_yoy,precio_yoy,0.3436894383298068,0.3436894383298068,47
audp_zone,casa,icoi_yoy,velocidad_yoy,0.1905071136239587,0.1905071136239587,47
audp_zone,casa,icoi_yoy,plazo_yoy,-0.07001295809484091,0.07001295809484091,47
audp_zone,casa,icoi_yoy,descuento_yoy,-0.6589216229968926,0.6589216229968926,47
audp_zone,casa,icoi_yoy,sup_yoy,-0.2685761985194477,0.2685761985194477,47
audp_zone,townhouse,imacec_var,precio_yoy,-0.33384615384615385,0.33384615384615385,25
audp_zone,townhouse,imacec_var,velocidad_yoy,-0.09999999999999999,0.09999999999999999,25
audp_zone,townhouse,imacec_var,plazo_yoy,0.17846153846153845,0.17846153846153845,25
audp_zone,townhouse,imacec_var,descuento_yoy,-0.12404467287171222,0.12404467287171222,25
audp_zone,townhouse,imacec_var,sup_yoy,0.21538461538461537,0.21538461538461537,25
audp_zone,townhouse,d_tasa_hipo,precio_yoy,0.3992307692307692,0.3992307692307692,25
audp_zone,townhouse,d_tasa_hipo,velocidad_yoy,-0.2846153846153846,0.2846153846153846,25
audp_zone,townhouse,d_tasa_hipo,plazo_yoy,0.5776923076923076,0.5776923076923076,25
audp_zone,townhouse,d_tasa_hipo,descuento_yoy,-0.4946085057542956,0.4946085057542956,25
audp_zone,townhouse,d_tasa_hipo,sup_yoy,0.35230769230769227,0.35230769230769227,25
audp_zone,townhouse,d_desempleo,precio_yoy,0.044239277602345625,0.044239277602345625,25
audp_zone,townhouse,d_desempleo,velocidad_yoy,0.26197346127997717,0.26197346127997717,25
audp_zone,townhouse,d_desempleo,plazo_yoy,-0.30198115580731577,0.30198115580731577,25
audp_zone,townhouse,d_desempleo,descuento_yoy,0.23576947774422993,0.23576947774422993,25
audp_zone,townhouse,d_desempleo,sup_yoy,-0.08309290401831876,0.08309290401831876,25
audp_zone,townhouse,ipv_general_yoy,precio_yoy,-0.5506753959851409,0.5506753959851409,25
audp_zone,townhouse,ipv_general_yoy,velocidad_yoy,0.4169564579817512,0.4169564579817512,25
audp_zone,townhouse,ipv_general_yoy,plazo_yoy,-0.7788068406479844,0.7788068406479844,25
audp_zone,townhouse,ipv_general_yoy,descuento_yoy,0.37226177667832805,0.37226177667832805,25
audp_zone,townhouse,ipv_general_yoy,sup_yoy,0.0655107189065598,0.0655107189065598,25
audp_zone,townhouse,icoi_yoy,precio_yoy,-0.03948929509438584,0.03948929509438584,25
audp_zone,townhouse,icoi_yoy,velocidad_yoy,0.23810871992555427,0.23810871992555427,25
audp_zone,townhouse,icoi_yoy,plazo_yoy,0.016030307909602175,0.016030307909602175,25
audp_zone,townhouse,icoi_yoy,descuento_yoy,0.2547905361653218,0.2547905361653218,25
audp_zone,townhouse,icoi_yoy,sup_yoy,0.4699617099351662,0.4699617099351662,25
nacional,edif_4p,imacec_var,precio_yoy,0.22915762049500651,0.22915762049500651,48
nacional,edif_4p,imacec_var,velocidad_yoy,-0.0140034737299175,0.0140034737299175,48
nacional,edif_4p,imacec_var,plazo_yoy,-0.28321754233608337,0.28321754233608337,48
nacional,edif_4p,imacec_var,descuento_yoy,-0.1661962657403387,0.1661962657403387,48
